,pareto_points,solution_points
125,[1.        0.9286235],[-0.18565653  0.05863477 -0.38970184 -0.17628026]
126,[1.         0.91002768],[-0.47126436  0.61735547 -0.2372415   0.2589602 ]
127,[1.         0.92982715],[-0.17005074  0.02311173 -0.40476215 -0.18548474]
128,[1.         1.03223634],[-0.2739915   0.14447165 -0.35524878  0.01124007]
129,[1.         0.98578542],[-0.25640988  0.16814911 -0.29159907 -0.04133066]
130,[0.74655542 1.05561996],[-0.3338358   0.39110544 -0.31744856  0.20918784]
131,[1.         0.85509193],[-0.12589604  0.02501602 -0.43114442 -0.2031095 ]
132,[1.         0.88588524],[-0.5101969   0.67077136 -0.2262569   0.27102336]
133,[1.         0.94145185],[-0.21339563  0.10997116 -0.37131134 -0.15746573]
134,[1.         0.50599802],[ 0.24527857 -0.09408572 -0.8601822  -0.19479328]
135,[1.         1.01970315],[-0.24946883  0.09134439 -0.32012278 -0.11131118]
136,[1.         0.79843819],[-0.04085591 -0.05630505 -0.5062039  -0.22279027]
137,[1.         1.00942957],[-0.28486887  0.23325276 -0.3816976   0.11959156]
138,[1.         0.79905933],[-0.04230011 -0.05481292 -0.5064744  -0.22403106]
139,[1.         1.02510345],[-0.27547365  0.16216561 -0.39305937  0.0414499 ]
140,[1.         1.00988042],[-0.23594941  0.0699744  -0.3460701  -0.13741188]
141,[1.         1.03587067],[-0.2618484   0.10170671 -0.37363398 -0.05055241]
142,[1.         1.03082502],[-0.27212605  0.14079969 -0.37099513  0.00818844]
143,[1.         0.90382111],[-0.1538904   0.02162361 -0.3804323  -0.1743471 ]
144,[1.         1.03011656],[-0.27697268  0.15826155 -0.36541057  0.03372554]
145,[1.         0.85513073],[-0.14542148  0.06588866 -0.41831154 -0.18902272]
146,[1.         0.89022893],[-0.17993061  0.0986452  -0.39469618 -0.17115456]
147,[1.         1.03465903],[-0.2702339   0.12841648 -0.3483533  -0.01415387]
148,[1.        0.7837503],[-0.02949379 -0.05790892 -0.47925413 -0.20097989]
149,[1.         0.93839139],[-0.1822521   0.03837894 -0.3684573  -0.16152853]
150,[0.99074839 1.08957362],[-0.342282    0.3524383  -0.37030137  0.20221916]
151,[1.         1.03104126],[-0.25352603  0.08589605 -0.34517625 -0.09579945]
152,[1.         1.10195982],[-0.34613225  0.3293195  -0.3885054   0.22178039]
153,[1.       0.446796],[ 0.23214278 -0.02228332 -0.8366562  -0.19570875]
154,[1.         0.73503643],[-0.04010274  0.01185189 -0.5021278  -0.22340593]
155,[1.         0.95291334],[-0.22429898  0.12276614 -0.3603624  -0.11554217]
156,[1.         1.00758386],[-0.27422583  0.1914871  -0.36243993  0.05062418]
157,[1.         0.57312632],[ 0.16556942 -0.08587366 -0.76242524 -0.20291322]
158,[1.         1.03934884],[-0.26533887  0.10641054 -0.3345071  -0.04965915]
159,[1.         0.79335219],[-0.10341436  0.05803983 -0.44781613 -0.20507196]
160,[1.         1.01019347],[-0.24184933  0.0847042  -0.35601872 -0.13159   ]
161,[1.         1.01995599],[-0.26231158  0.12792817 -0.35481048 -0.03505748]
162,[1.         1.02830756],[-0.2705548  0.139993  -0.3865379  0.0081279]
163,[1.         1.02184606],[-0.2662784   0.13720007 -0.36720553 -0.01252746]
164,[1.         0.99805707],[-0.2811609   0.2440232  -0.35400075  0.10833618]
165,[1.         0.64733011],[ 0.04403666 -0.0183749  -0.6075875  -0.21496394]
166,[1.         1.03795946],[-0.26807618  0.11657929 -0.33271962 -0.03455482]
167,[1.         0.59871882],[ 0.07612112 -0.00856988 -0.6455565  -0.2116169 ]
168,[1.         0.61158615],[ 0.02336037  0.05678976 -0.57454157 -0.21663213]
169,[1.         1.00083458],[-0.25196996  0.1274803  -0.30283248 -0.08182697]
170,[1.         0.97284591],[-0.21785316  0.07575865 -0.3168647  -0.12584901]
171,[1.         1.03611493],[-0.26865837  0.12124361 -0.3434956  -0.02578166]
172,[1.         1.02246428],[-0.29030943  0.22714745 -0.41429812  0.14099787]
173,[1.         1.00941765],[-0.27786657  0.20226683 -0.37193453  0.07244714]
174,[1.         0.89733809],[-0.15223971  0.02616274 -0.41255194 -0.1937168 ]
175,[1.         0.96028388],[-0.2228367   0.10711765 -0.3639784  -0.14869106]
176,[1.         1.04018557],[-0.2604807   0.09152424 -0.35177588 -0.06943958]
177,[1.         1.02509522],[-0.28255102  0.1883358  -0.4034721   0.08529362]
178,[1.         0.54499876],[ 0.08146185  0.04841027 -0.64605033 -0.21072766]
179,[1.         0.98601329],[-0.2681153   0.21283832 -0.3138116   0.03389299]
180,[1.         0.71656495],[ 0.03121132 -0.07323517 -0.5895674  -0.21246687]
181,[1.         1.00379527],[-0.22851196  0.05984923 -0.3620283  -0.1476411 ]
182,[1.         0.64358777],[ 0.05912456 -0.03488497 -0.627666   -0.21351668]
183,[1.        0.9875176],[-0.2756673   0.2440274  -0.32618898  0.08361396]
184,[1.         0.49821121],[ 0.10976163  0.06653002 -0.6785435  -0.20771858]
185,[1.         1.05278897],[-0.31540442  0.2795668  -0.41240972  0.19707236]
186,[1.         1.02407026],[-0.2670463   0.13591309 -0.37215936 -0.00972058]
187,[1.         1.02759171],[-0.29062876  0.21657737 -0.39032227  0.12594031]
188,[1.         0.99771649],[-0.24619341  0.11532705 -0.34246612 -0.08653034]
189,[1.         0.97703862],[-0.21987444  0.07498636 -0.3690018  -0.15980431]
190,[1.         0.99277639],[-0.2584269   0.16220266 -0.306738   -0.03525229]
191,[1.         0.99880403],[-0.26114547  0.16053146 -0.32188454 -0.02386001]
192,[0.98939806 0.99174803],[-0.40182203  0.5045795  -0.27606893  0.2341055 ]
193,[1.         1.02799404],[-0.28794616  0.20409217 -0.38083693  0.10553691]
194,[1.         0.98624808],[-0.26091802  0.18360364 -0.30160987 -0.01324573]
195,[1.         1.01116872],[-0.23833962  0.07424223 -0.338674   -0.13290955]
196,[1.         0.66806763],[ 0.04957786 -0.04802731 -0.6174447  -0.21457395]
197,[1.         0.73942262],[-0.01165676 -0.03790718 -0.541944   -0.22078907]
198,[1.         1.02093112],[-0.2659211   0.1375992  -0.3650661  -0.01393419]
199,[1.         0.88929117],[-0.1522726   0.03619632 -0.41276625 -0.1919191 ]
200,[1.         0.75484961],[-0.02413464 -0.03578228 -0.52655256 -0.22205517]
201,[0.85369364 1.10530019],[-0.37938586  0.42713133 -0.3336894   0.21825269]
202,[0.99387676 0.98351145],[-0.2849275   0.31367677 -0.31533536  0.16042274]
203,[1.         1.03712499],[-0.26618552  0.11228855 -0.34614122 -0.03891274]
204,[1.         0.99937373],[-0.2704865   0.19372384 -0.34165746  0.03492308]
205,[1.         0.99813789],[-0.27673945  0.2227686  -0.34923625  0.07771584]
206,[1.         1.01965332],[-0.283124    0.20198447 -0.39878166  0.09596635]
207,[1.         1.02146924],[-0.2659172   0.13668521 -0.36580393 -0.01441277]
208,[1.         0.84011829],[-0.12252738  0.03683834 -0.43380526 -0.20217982]
209,[1.         0.99931681],[-0.28489986  0.26028928 -0.35944533  0.13336876]
210,[1.         1.02928507],[-0.24962817  0.07808714 -0.3540613  -0.11228397]
211,[1.         0.99181044],[-0.23350796  0.08911005 -0.30107862 -0.11385703]
212,[1.        1.0284493],[-0.27356437  0.1496349  -0.38562885  0.02388732]
213,[1.         1.01446676],[-0.26980445  0.16185394 -0.36462015  0.01577776]
214,[1.        1.0375241],[-0.26084703  0.09643632 -0.36737356 -0.0595243 ]
215,[1.         0.76006639],[-0.01739722 -0.05111389 -0.53635633 -0.2214566 ]
216,[1.         1.01830888],[-0.29324535  0.2524282  -0.40820578  0.16696326]
217,[1.         1.03501391],[-0.26429966  0.11003958 -0.36858493 -0.03874533]
218,[1.         1.02911806],[-0.28649852  0.19574164 -0.36852527  0.09094095]
219,[1.         0.88500136],[-0.139143    0.014934   -0.42154282 -0.2002839 ]
220,[1.         1.02953994],[-0.2666614   0.12571996 -0.37865955 -0.01659446]
221,[0.94931882 1.15497029],[-0.43370646  0.4659722  -0.35758743  0.22827682]
222,[1.         1.02404296],[-0.2715329   0.15056965 -0.38272256  0.0178649 ]
223,[1.         0.99638391],[-0.2634533   0.17316702 -0.32309395 -0.00709973]
224,[1.        0.7271437],[-0.02863365  0.00191551 -0.51711535 -0.22229008]
225,[1.         1.03650022],[-0.24872285  0.06582741 -0.3604     -0.12149459]
226,[1.         0.77980542],[-0.05884635 -0.00823575 -0.4814581  -0.22544742]
227,[1.         1.00956416],[-0.28074247  0.21411532 -0.37667173  0.09136705]
228,[1.         0.99666375],[-0.28748763  0.28379855 -0.35305914  0.15687379]
229,[1.         0.53718311],[ 0.08647755  0.05078599 -0.65189725 -0.21019936]
230,[1.         1.01779437],[-0.26746684  0.147984   -0.36428323 -0.00173913]
231,[1.         1.05006921],[-0.31346345  0.27593547 -0.41496423  0.19440621]
232,[1.         0.98993778],[-0.2834655   0.28037885 -0.33553353  0.13704678]
233,[1.         0.87802535],[-0.12278776 -0.00775236 -0.40144223 -0.19358651]
234,[1.        1.0091747],[-0.26327035  0.14916898 -0.34205848 -0.02002814]
235,[1.        0.9866423],[-0.26289433  0.19032282 -0.30604482 -0.00096184]
236,[0.95796635 1.02765644],[-0.38096178  0.46538213 -0.29357964  0.22562459]
237,[1.         0.99003971],[-0.28059062  0.26309872 -0.33530343  0.11539166]
238,[1.        1.0096494],[-0.2674394   0.1624496  -0.3521545   0.00543398]
239,[1.         1.02957296],[-0.28446496  0.18674225 -0.36340898  0.07650788]
240,[1.        1.0323168],[-0.2544238   0.08647297 -0.3492424  -0.0914681 ]
241,[1.         1.01093864],[-0.28197074  0.21636486 -0.38102466  0.09802964]
242,[1.         1.01942515],[-0.278809    0.1852602  -0.390801    0.06811026]
243,[1.         1.00938952],[-0.28260124  0.22278225 -0.37889734  0.10410438]
244,[1.         1.03003097],[-0.2511299   0.08097035 -0.33712953 -0.10906824]
245,[1.         0.65659016],[ 0.0786576  -0.07263792 -0.65538406 -0.21174128]
246,[1.         0.99585563],[-0.28559816  0.27465916 -0.35106984  0.14375998]
247,[1.       0.939843],[-0.18292801  0.03802145 -0.36986443 -0.16212991]
248,[1.        0.9297508],[-0.17024332  0.023601   -0.3907116  -0.17616309]
249,[1.         1.00318825],[-0.26897454  0.18023223 -0.3451864   0.02131297]
250,[1.         0.90493745],[-0.16514966  0.04375148 -0.34106612 -0.15071337]
251,[1.        0.8040244],[-0.04969497 -0.04887497 -0.43491793 -0.19498181]
252,[0.99317592 1.13519561],[-0.48193082  0.5248506  -0.3479811   0.23275828]
253,[1.         0.70540011],[ 0.0416334  -0.07545528 -0.59303343 -0.20664987]
254,[1.         1.00517797],[-0.2904444  0.2748622 -0.3754332  0.1656734]
255,[1.         1.02906895],[-0.3069642   0.30394685 -0.38030457  0.19126931]
256,[1.         1.02450418],[-0.28309512  0.19168362 -0.40717316  0.09064043]
257,[1.         0.67044914],[-0.03187281  0.07968341 -0.5052318  -0.22134036]
258,[1.         0.71330488],[-0.03138587  0.02292062 -0.51155865 -0.22244614]
259,[1.         1.00850391],[-0.29083675  0.26704654 -0.38389722  0.16349688]
260,[1.         1.02536392],[-0.29206604  0.22839051 -0.41825423  0.14826158]
261,[1.         0.69939029],[-0.04642406  0.06860256 -0.48875022 -0.22276187]
262,[1.         0.95127004],[-0.20265836  0.06818677 -0.37791118 -0.16864957]
263,[1.         0.98404783],[-0.22386236  0.07524984 -0.3234051  -0.12799677]
264,[1.         0.84870869],[-0.13719481  0.05639107 -0.42390126 -0.19358297]
265,[0.94894701 1.04198158],[-0.38100693  0.45880234 -0.3008668   0.22437173]
266,[0.99306869 1.19223261],[-0.52320826  0.5844413  -0.37312323  0.22133443]
267,[1.         1.03163815],[-0.26849627  0.12795898 -0.37623417 -0.01041026]
268,[1.         0.66459543],[ 0.08279607 -0.08525854 -0.6456638  -0.20327829]
269,[0.84941376 1.18097937],[-0.41421607  0.43203288 -0.37099826  0.22086477]
270,[1.         0.78624535],[-0.03081128 -0.0585396  -0.5131138  -0.2189808 ]
271,[1.        1.0293026],[-0.25792247  0.10048511 -0.35533893 -0.06865385]
272,[1.         0.99006355],[-0.26872128  0.20640236 -0.3222134   0.03337382]
273,[1.         1.02716136],[-0.2631571   0.11892315 -0.36655426 -0.03579439]
274,[1.         1.00674331],[-0.27182284  0.18391731 -0.35655022  0.03599093]
275,[1.         1.03488171],[-0.26349586  0.10791186 -0.3729372  -0.0412728 ]
276,[1.        1.0858047],[-0.33833903  0.3303374  -0.38975906  0.19781378]
277,[1.         0.89885324],[-0.14699045  0.01383358 -0.39137727 -0.18178469]
278,[1.         0.87809145],[-0.11943427 -0.01385923 -0.4339657  -0.21124843]
279,[1.         1.00004888],[-0.22610708  0.05902284 -0.3732389  -0.15572664]
280,[1.         1.00629139],[-0.27059323  0.18018484 -0.35341936  0.02857409]
281,[1.         1.03629613],[-0.27078184  0.1274504  -0.3346101  -0.01780242]
282,[1.        0.7626093],[-0.0934457   0.07879433 -0.45535332 -0.20485413]
283,[0.9997067 0.9381519],[-0.4702677   0.6029031  -0.25190446  0.25615552]
284,[1.         0.89812785],[-0.5015502   0.65555567 -0.23238099  0.26770476]
285,[1.         1.02502227],[-0.29106477  0.22453727 -0.41831183  0.14243951]
286,[1.         1.03878713],[-0.25472853  0.07810468 -0.35073483 -0.09729745]
287,[0.99859366 0.98459899],[-0.28183317  0.2876275  -0.32126263  0.13335657]
288,[0.74326145 1.1509372 ],[-0.38032687  0.3995791  -0.3651256   0.21304274]
289,[0.77783001 1.18297637],[-0.39301735  0.38853776 -0.3839177   0.22488189]
290,[1.        1.0218327],[-0.29598755  0.25749475 -0.4178874   0.18186042]
291,[1.         0.79738951],[-0.08668458  0.02015693 -0.45835096 -0.21715844]
292,[1.         0.99282593],[-0.23717245  0.09744694 -0.3530852  -0.13851331]
293,[1.         0.69302976],[ 0.017865   -0.03109762 -0.57711315 -0.21772256]
294,[1.         0.87442154],[-0.17930017  0.12129702 -0.39567798 -0.16734181]
295,[0.90326973 1.01253021],[-0.3060684   0.36579645 -0.31122738  0.20302334]
296,[0.87065908 1.12752342],[-0.392375    0.43172023 -0.3445682   0.21975347]
297,[1.         1.03302157],[-0.26856408  0.12592456 -0.36599404 -0.01511827]
298,[1.         1.01320577],[-0.28707734  0.23448223 -0.39185798  0.13015133]
299,[1.         0.97183698],[-0.2145096   0.06888441 -0.32923278 -0.1332305 ]
300,[1.         0.89770865],[-0.16144696  0.04500566 -0.4064904  -0.18715079]
301,[0.99958257 1.07314527],[-0.5253271   0.608077   -0.31914258  0.242466  ]
302,[1.         0.73937988],[-0.08417116  0.09159946 -0.46221167 -0.20580943]
303,[1.         1.02921522],[-0.27853873  0.16541043 -0.37032467  0.04532599]
304,[1.         0.71584868],[ 0.02387327 -0.0629952  -0.58777446 -0.21729818]
305,[1.         1.00348115],[-0.2843501   0.24592094 -0.3685717   0.12364696]
306,[1.         0.98245811],[-0.2687905   0.2240038  -0.307975    0.04256387]
307,[1.         1.02680314],[-0.27965832  0.1740073  -0.3893838   0.06136829]
308,[1.         0.65184915],[ 0.09651154 -0.08857664 -0.6651429  -0.20313276]
309,[1.         0.98509693],[-0.2621138   0.19046697 -0.30197436 -0.004402  ]
310,[1.         0.84723836],[-0.11650266  0.01631513 -0.4375776  -0.20793487]
311,[1.         0.54119408],[ 0.11831141  0.00088745 -0.6958464  -0.20723614]
312,[1.         0.75645274],[-0.09063077  0.08133878 -0.45740312 -0.20538299]
313,[1.         1.03295684],[-0.26253706  0.10808989 -0.37239462 -0.04404949]
314,[1.         0.98567712],[-0.264075    0.19693696 -0.30653933  0.00768824]
315,[1.         0.79978991],[-0.06613496 -0.01844482 -0.47367293 -0.22625567]
316,[1.         1.02554142],[-0.2925214   0.23011588 -0.4181078   0.15084936]
317,[1.         0.99469644],[-0.27761757  0.23521203 -0.34336773  0.08794467]
318,[1.         0.99050021],[-0.2606544   0.17432529 -0.30796576 -0.01911235]
319,[0.99289358 0.98386258],[-0.28629637  0.32334852 -0.31424814  0.171462  ]
320,[1.         1.01471019],[-0.3000558   0.30688578 -0.36860582  0.1914972 ]
321,[1.         0.92357969],[-0.20515415  0.11494128 -0.37725407 -0.15945552]
322,[0.83561991 1.0857718 ],[-0.3452851   0.38324922 -0.34011835  0.20824066]
323,[1.         0.63228124],[ 0.05984494 -0.02366935 -0.62736106 -0.21337557]
324,[1.         1.02609146],[-0.28926358  0.21395367 -0.4021296   0.12384839]
325,[1.         0.99027646],[-0.26436454  0.18857954 -0.31493202  0.0047757 ]
326,[1.         1.02819586],[-0.256108    0.09706922 -0.3489852  -0.07854322]
327,[1.         0.50201166],[ 0.17284754 -0.02066091 -0.7644075  -0.20177612]
328,[1.         1.00941777],[-0.258119    0.13227582 -0.32998407 -0.05173363]
329,[1.         1.02709174],[-0.27908364  0.17135318 -0.38744354  0.05704303]
330,[1.         0.99454534],[-0.22069892  0.05337675 -0.3771265  -0.15851355]
331,[0.91884252 1.21740806],[-0.4467535   0.45353565 -0.38638544  0.21918389]
332,[1.         1.03194356],[-0.26061854  0.10413353 -0.33469558 -0.06609053]
333,[1.         0.60252899],[ 0.08384213 -0.02308248 -0.65646964 -0.21091262]
334,[1.         0.83753443],[-0.09417652 -0.01298603 -0.45132118 -0.21925382]
335,[1.         1.02806437],[-0.2956461   0.23901968 -0.40400884  0.16208059]
336,[1.         1.02020931],[-0.26915058  0.14934418 -0.3716789   0.00652479]
