,pareto_points,solution_points
2807,[1.         1.03297555],[-0.2604545   0.10211123 -0.36680818 -0.05643796]
2808,[1.         1.02751541],[-0.28498518  0.19299024 -0.3823138   0.08897099]
2809,[1.         0.86461455],[-0.09668896 -0.03815627 -0.44195855 -0.21998303]
2810,[1.         1.03861213],[-0.2518993   0.07101494 -0.3492757  -0.11062716]
2811,[1.         1.07485271],[-0.32923806  0.29909965 -0.4077746   0.20171216]
2812,[1.         0.42610717],[ 0.24900636 -0.01584217 -0.85647714 -0.1939418 ]
2813,[1.         0.64533114],[ 0.02667281  0.00939572 -0.5835571  -0.21657696]
2814,[1.         1.02520251],[-0.2889336   0.21451977 -0.41033554  0.12601063]
2815,[0.95620316 1.20510972],[-0.4667883   0.4998188  -0.38022196  0.22205946]
2816,[1.         1.06070614],[-0.3197857   0.2822562  -0.4184176   0.19063014]
2817,[1.         0.76718307],[-0.06219485  0.01206949 -0.47525024 -0.22566876]
2818,[1.         0.69028145],[ 0.00483388 -0.00890864 -0.5589371  -0.21892501]
2819,[1.         1.03946543],[-0.2507055   0.06681205 -0.3586483  -0.11514626]
2820,[1.         0.89392829],[-0.17069209  0.07077962 -0.4005662  -0.17933771]
2821,[0.99783916 1.12503397],[-0.35885605  0.3457371  -0.39798385  0.20173901]
2822,[1.         0.97867632],[-0.23235764  0.10544494 -0.35596186 -0.13305503]
2823,[1.         0.75796276],[-4.9106061e-02  3.4518540e-04 -4.9239486e-01 -2.2439766e-01]
2824,[1.         1.02605605],[-0.27912667  0.17348298 -0.39620063  0.06165943]
2825,[1.         1.03478158],[-0.26684612  0.117908   -0.3598264  -0.02823128]
2826,[1.         1.03430188],[-0.27433577  0.14205408 -0.3385389   0.00492286]
2827,[1.         1.02669668],[-0.27723733  0.16545472 -0.39293152  0.04898984]
2828,[1.         0.77054811],[-0.07084717  0.02353178 -0.4693952  -0.22179376]
2829,[1.         0.74588794],[ 0.00317143 -0.06542076 -0.510946   -0.19323322]
2830,[1.         1.03077888],[-0.26092422  0.10676946 -0.33326048 -0.06378412]
2831,[1.         1.02898455],[-0.28787813  0.20167266 -0.37121844  0.10034505]
2832,[1.         0.93849242],[-0.48797262  0.6217191  -0.25292695  0.26059696]
2833,[1.         0.89719665],[-0.1602043   0.04298627 -0.4073209  -0.18794373]
2834,[0.81852769 1.19822729],[-0.4180265   0.43036735 -0.38067213  0.2250992 ]
2835,[1.         1.04167747],[-0.25947043  0.08662061 -0.34365594 -0.07882156]
2836,[1.         0.66614902],[-0.02004376  0.06261837 -0.521167   -0.22104557]
2837,[1.         1.03330171],[-0.26291093  0.10864264 -0.37382907 -0.042088  ]
2838,[1.         0.98488438],[-0.22697367  0.08198763 -0.36405778 -0.15613015]
2839,[1.         0.69576681],[ 0.05145583 -0.07821257 -0.6213229  -0.21376413]
2840,[1.         1.00650835],[-0.28736892  0.2535011  -0.37757015  0.141057  ]
2841,[1.         1.04388595],[-0.25492385  0.07153101 -0.35830095 -0.09865782]
2842,[1.         0.98681349],[-0.2126122   0.04459375 -0.38185257 -0.161852  ]
2843,[1.         1.02705109],[-0.28545028  0.19582748 -0.38695806  0.0940036 ]
2844,[1.         0.65657848],[-0.02152643  0.07860877 -0.5176814  -0.22110161]
2845,[1.         1.01137292],[-0.27682173  0.19390278 -0.3735781   0.06352581]
2846,[1.         1.01308513],[-0.29321045  0.2671485  -0.3958283   0.17423137]
2847,[1.         0.92753452],[-0.17131388  0.02854133 -0.3806252  -0.1705172 ]
2848,[1.         1.02658665],[-0.25671124  0.10114959 -0.34865692 -0.07376994]
2849,[1.        1.0293901],[-0.2780592   0.16338411 -0.36954573  0.0421356 ]
2850,[1.         0.90911043],[-0.2010739   0.12649035 -0.37997118 -0.15437263]
2851,[1.         1.02780592],[-0.26076537  0.11087142 -0.33144006 -0.06205836]
2852,[1.         1.03035116],[-0.27870825  0.16390982 -0.36071384  0.04152598]
2853,[1.         1.03030515],[-0.30000827  0.25580427 -0.4037464   0.1874395 ]
2854,[1.        1.0202688],[-0.23984131  0.06556265 -0.3594358  -0.14369455]
2855,[1.         1.03596663],[-0.2663926  0.1147031 -0.3533435 -0.0341128]
2856,[1.         1.03480554],[-0.27068895  0.12959662 -0.3457806  -0.01277725]
2857,[1.         1.02680004],[-0.2881256   0.20745417 -0.39273983  0.11251849]
2858,[1.         1.02585053],[-0.29412097  0.23708291 -0.4216335   0.16195375]
2859,[1.         1.02476919],[-0.28593236  0.20264512 -0.40905997  0.10783739]
2860,[1.         1.01823676],[-0.2843005   0.21003467 -0.39806482  0.10532208]
2861,[1.         1.03011119],[-0.27253714  0.14335586 -0.37531546  0.01274416]
2862,[1.         0.80749798],[-0.07059205 -0.01958121 -0.4683746  -0.22671929]
2863,[1.        0.9809792],[-0.22183223  0.07441602 -0.32344478 -0.1284763 ]
2864,[1.         1.02845347],[-0.27706122  0.16159405 -0.37874764  0.04089067]
2865,[0.74246342 1.20278311],[-0.40446734  0.40162113 -0.39047974  0.21857092]
2866,[1.         1.00954616],[-0.25912955  0.13521709 -0.33266172 -0.04570187]
2867,[1.         0.90713483],[-0.1489995   0.00799531 -0.40651467 -0.18942589]
2868,[1.         1.04330516],[-0.25551763  0.07386957 -0.35850507 -0.09508634]
2869,[1.         1.02786803],[-0.24971622  0.08030705 -0.35296288 -0.11083899]
2870,[1.         1.01851809],[-0.26487562  0.13833404 -0.3591647  -0.01826887]
2871,[1.       1.031937],[-0.2777668   0.15771866 -0.34931552  0.0303432 ]
2872,[1.         0.99234986],[-0.23079798  0.08126436 -0.36313823 -0.15397768]
2873,[1.         0.53019083],[ 0.13157964 -0.00339788 -0.712426   -0.205902  ]
2874,[1.         1.03184474],[-0.276073    0.15209469 -0.35340136  0.02248234]
2875,[1.         0.99534845],[-0.27525792  0.22266145 -0.34182566  0.07099409]
2876,[0.90825914 1.10712147],[-0.35334554  0.37386325 -0.36031526  0.20683846]
2877,[0.98889797 1.13110673],[-0.46017808  0.5049628  -0.3466853   0.23586288]
2878,[1.         1.02123868],[-0.25090718  0.09301133 -0.34622985 -0.10055204]
2879,[1.         1.01371729],[-0.27206874  0.17127311 -0.36827508  0.0307197 ]
2880,[1.        1.0377059],[-0.26158732  0.09823429 -0.36264417 -0.05755587]
2881,[1.         1.03640926],[-0.27015105  0.12531982 -0.33597064 -0.02081023]
2882,[1.         0.98050332],[-0.22594357  0.08556404 -0.3629936  -0.15684022]
2883,[1.         1.00978577],[-0.23795131  0.07517073 -0.36302584 -0.14813161]
2884,[1.         1.02629602],[-0.27812052  0.1693658  -0.39516488  0.05526394]
2885,[1.         0.69223279],[ 0.05406287 -0.07795855 -0.59172934 -0.19697514]
2886,[0.72209883 1.20687294],[-0.40760183  0.40540224 -0.39080796  0.21816343]
2887,[1.         1.00555694],[-0.2792061   0.21651833 -0.3669029   0.08566448]
2888,[0.96286623 1.15220535],[-0.44232625  0.47665718 -0.35640997  0.23072991]
2889,[1.         1.03484344],[-0.26660475  0.11708848 -0.36032736 -0.0293918 ]
2890,[1.         0.89388323],[-0.1381075   0.00252348 -0.40454423 -0.19108272]
2891,[1.         0.96691447],[-0.20744541  0.0585424  -0.34601164 -0.14381516]
2892,[1.         1.01376987],[-0.28757825  0.2354973  -0.39355212  0.13291769]
2893,[1.         0.99868369],[-0.27973095  0.23538238 -0.35392433  0.09754206]
2894,[1.         0.92296046],[-0.17453027  0.0411189  -0.35538727 -0.15626886]
2895,[1.         0.91212654],[-0.15440679  0.01271567 -0.40081906 -0.18515356]
2896,[1.         1.03990042],[-0.2636195   0.10067435 -0.33853227 -0.05769951]
2897,[1.         1.03083491],[-0.2452863   0.06486862 -0.36308542 -0.13209839]
2898,[1.         0.79286224],[-0.07640958  0.00694472 -0.4646349  -0.22225928]
2899,[1.         0.83672208],[-0.09173664 -0.0162816  -0.45280433 -0.22048658]
2900,[1.         0.64658684],[ 0.0333918  -0.00219198 -0.5929444  -0.21595785]
2901,[1.         0.98980564],[-0.27000523  0.21238089 -0.32375747  0.04216801]
2902,[1.         0.86581373],[-0.17566139  0.12508747 -0.39833957 -0.1679362 ]
2903,[1.         0.87447053],[-0.10935941 -0.02746405 -0.4286569  -0.21147496]
2904,[1.         1.02572703],[-0.29369384  0.23529705 -0.42102483  0.15915436]
2905,[1.         1.00011432],[-0.27851307  0.2261518  -0.35541016  0.08740476]
2906,[1.         1.02524185],[-0.28073317  0.1810494  -0.40228048  0.07407725]
2907,[1.         1.02803838],[-0.27935478  0.17054564 -0.37917328  0.05450514]
2908,[1.         0.99134547],[-0.2557794   0.15580103 -0.29864234 -0.05039674]
2909,[1.         0.50528681],[ 0.15983602 -0.00943005 -0.7474088  -0.20304224]
2910,[1.         1.00999129],[-0.27402613  0.18581921 -0.36612666  0.04686629]
2911,[1.         0.98424119],[-0.22260427  0.07183515 -0.32991093 -0.13176653]
2912,[1.        0.9927628],[-0.27348846  0.22080266 -0.3344092   0.06209278]
2913,[1.         0.69567209],[-0.00243306 -0.00382948 -0.5495689  -0.21963927]
2914,[1.        0.5798986],[ 0.06112304  0.03553723 -0.6226821  -0.21288937]
2915,[1.         1.03390455],[-0.27154714  0.1337713  -0.34962013 -0.00584866]
2916,[1.         1.08317614],[-0.33425915  0.3060466  -0.41145593  0.19298407]
2917,[0.79712929 1.08793306],[-0.3476942   0.38809597 -0.33774436  0.20928109]
2918,[1.         0.92977834],[-0.17730606  0.03850833 -0.3637213  -0.16010757]
2919,[1.         1.02619171],[-0.2931752   0.23163925 -0.41364294  0.15244432]
2920,[1.         1.00574744],[-0.24047261  0.08744153 -0.35563058 -0.13416979]
2921,[1.         0.74472785],[-0.06697842  0.04863316 -0.47334623 -0.2194553 ]
2922,[1.         1.03809619],[-0.26003158  0.09333763 -0.3675961  -0.06417827]
2923,[0.99057905 1.09016585],[-0.44578803  0.5075342  -0.32671654  0.23678616]
2924,[1.         0.90677643],[-0.20063092  0.12901898 -0.37997675 -0.15036239]
2925,[1.         1.03505945],[-0.27370614  0.13872969 -0.33455604 -0.00074172]
2926,[1.        1.0348655],[-0.2474949   0.06495636 -0.36160737 -0.12556595]
2927,[1.         1.02301466],[-0.28560808  0.20507833 -0.40879172  0.10870686]
2928,[1.         0.63318825],[ 0.0452764  -0.00429766 -0.6076126  -0.21475247]
2929,[1.         1.02918601],[-0.27611634  0.15698464 -0.37446195  0.03323324]
2930,[1.         1.01569235],[-0.29668528  0.28008687 -0.39392883  0.18622327]
2931,[1.         0.61272913],[ 0.04372704  0.02202515 -0.6029583  -0.21475334]
2932,[1.         1.03958595],[-0.25736693  0.08395886 -0.34627277 -0.0864211 ]
2933,[1.         0.80931973],[-0.11028104  0.05126439 -0.44280243 -0.2038831 ]
2934,[1.         1.01384223],[-0.28575128  0.22665675 -0.39163142  0.12023588]
2935,[1.         1.02861249],[-0.284623    0.18930686 -0.37212425  0.08177561]
2936,[1.         1.01052105],[-0.24623308  0.09599352 -0.34787214 -0.1126837 ]
2937,[1.         1.02055049],[-0.24947765  0.09013684 -0.348508   -0.10628608]
2938,[1.        0.8847748],[-0.14541507  0.0276853  -0.34936938 -0.16018528]
2939,[1.        1.0066365],[-0.26921812  0.17443587 -0.35122356  0.01948538]
2940,[1.         1.04207575],[-0.3098311   0.27842125 -0.41187426  0.1865386 ]
2941,[1.         0.98653096],[-0.27431434  0.23988256 -0.3227755   0.07543395]
2942,[1.         1.03340054],[-0.26900756  0.12667069 -0.36168483 -0.01467476]
2943,[1.         0.82000721],[-0.10367861  0.0247021  -0.44684017 -0.21091478]
2944,[1.         1.03748739],[-0.26656494  0.1128417  -0.34207457 -0.03872266]
2945,[1.         0.71633208],[-0.04983717  0.05261695 -0.48600364 -0.22415903]
2946,[1.         1.04014063],[-0.2552948   0.07769345 -0.3505593  -0.09585442]
2947,[1.         0.88699543],[-0.13901055  0.01231019 -0.4215743  -0.20079717]
2948,[1.         0.98988056],[-0.26097724  0.17669252 -0.30763805 -0.0164652 ]
2949,[1.         1.01890993],[-0.2629187   0.1315198  -0.35490686 -0.03051335]
2950,[1.         0.96635288],[-0.2110552   0.06794194 -0.32823497 -0.13347572]
2951,[1.         0.59556472],[ 0.07074979  0.00247887 -0.6378641  -0.21210107]
2952,[1.         1.06920409],[-0.326705    0.3010879  -0.39672652  0.21345294]
2953,[1.         1.04239273],[-0.25569695  0.07560341 -0.36314914 -0.09172358]
2954,[0.84918538 1.18741238],[-0.3935648   0.38756335 -0.39127588  0.2179378 ]
2955,[1.         0.89306831],[-0.18773103  0.11486349 -0.38956678 -0.1655465 ]
2956,[1.         0.69125658],[-0.00727418  0.00895382 -0.5423385  -0.22005877]
2957,[1.        1.0105176],[-0.25304332  0.11523727 -0.31841332 -0.08317186]
2958,[1.         1.02792037],[-0.30441254  0.2898671  -0.39265186  0.18846089]
2959,[1.         0.95211655],[-0.20054886  0.06200938 -0.33205757 -0.13789555]
2960,[1.         0.88833958],[-0.13952404  0.01171635 -0.38178158 -0.1787667 ]
2961,[1.         1.03071797],[-0.2812733   0.17245601 -0.35465735  0.05349561]
2962,[1.         1.00963664],[-0.2580115   0.13158287 -0.33001414 -0.05256709]
2963,[1.       0.975788],[-0.49478003  0.6115962  -0.2723978   0.25899395]
2964,[1.         0.81244278],[-0.07030708 -0.02545588 -0.46933943 -0.22672532]
2965,[1.         1.03754032],[-0.25498432  0.08053082 -0.34943062 -0.09524974]
2966,[1.         1.02610755],[-0.24946697  0.0821393  -0.32774293 -0.11596279]
2967,[0.90640598 1.15528762],[-0.3758904   0.36809796 -0.3823819   0.22699925]
2968,[1.         0.90727443],[-0.16230991  0.03473955 -0.40563744 -0.18867747]
2969,[1.         0.98659492],[-0.27391016  0.237753   -0.3224947   0.07254076]
2970,[1.         1.03413606],[-0.26617274  0.11691613 -0.36699808 -0.02859128]
2971,[1.         1.02814782],[-0.29604825  0.24081722 -0.40510014  0.16497447]
2972,[1.         0.84164941],[-0.1536086   0.10460091 -0.41344142 -0.17927527]
2973,[1.         1.02768075],[-0.2810194   0.1773592  -0.3808955   0.06509034]
2974,[1.        1.0352937],[-0.24954808  0.06956056 -0.34873676 -0.11915782]
2975,[1.         1.03160274],[-0.24595463  0.06550252 -0.3623533  -0.12979704]
2976,[1.         1.01183975],[-0.28304937  0.21907243 -0.38424072  0.10425003]
2977,[1.         0.82997358],[-0.13908863  0.08642478 -0.42327374 -0.18757564]
2978,[1.         1.03047347],[-0.28155807  0.17396379 -0.3564777   0.05606699]
2979,[1.         0.98990226],[-0.2605563   0.17512423 -0.3068071  -0.01915077]
2980,[1.         0.95070386],[-0.1936853   0.04801407 -0.35718724 -0.15290919]
2981,[1.         1.00159836],[-0.27595687  0.21139112 -0.3547051   0.06845485]
2982,[1.         0.78708726],[-0.08959123  0.03836407 -0.45712048 -0.2133962 ]
2983,[1.         1.03751493],[-0.2600936   0.09435961 -0.339621   -0.07285569]
2984,[1.         0.75723892],[-0.02393249 -0.03861439 -0.52709645 -0.22205143]
2985,[1.         0.67256635],[-0.01256368  0.0406476  -0.5325724  -0.22041076]
2986,[1.         1.03325546],[-0.26773706  0.12301907 -0.3672776  -0.01931103]
2987,[1.         1.02980864],[-0.2566157   0.09609403 -0.34107023 -0.0821415 ]
2988,[1.         0.86008495],[-0.15387094  0.07839689 -0.41263565 -0.1838488 ]
2989,[1.         1.01935148],[-0.29262793  0.24637197 -0.41010025  0.16112971]
2990,[1.         1.01527238],[-0.2518068   0.10437518 -0.32115713 -0.09421591]
2991,[0.97087679 1.1242733 ],[-0.35995322  0.36212322 -0.38131875  0.20491737]
2992,[0.99980746 1.06269026],[-0.32726628  0.33360347 -0.37259603  0.1979036 ]
2993,[0.99516354 1.19355869],[-0.54515445  0.6287268  -0.37367362  0.22119254]
2994,[1.         1.04380834],[-0.2538481   0.06888214 -0.36090845 -0.10293207]
2995,[1.         1.04133618],[-0.30689216  0.26297277 -0.42504215  0.18386686]
2996,[1.         1.02724707],[-0.2821249   0.18238263 -0.38426113  0.07322794]
2997,[1.         0.92501664],[-0.16609521  0.02080417 -0.40689865 -0.18759328]
2998,[1.         1.01471448],[-0.29163384  0.25368485 -0.3990068   0.16034436]
2999,[1.         1.00265276],[-0.24926318  0.11652609 -0.29821002 -0.09953467]
3000,[1.         1.04340529],[-0.31434092  0.30504823 -0.38813674  0.19183454]
3001,[1.         1.02621901],[-0.28781947  0.20742866 -0.39789736  0.11330046]
3002,[1.         0.93235826],[-0.17764714  0.03600027 -0.39737815 -0.18176123]
3003,[1.         1.03102577],[-0.26801342  0.12746152 -0.38233024 -0.01019321]
3004,[1.        1.0342257],[-0.26823258  0.12296839 -0.35851943 -0.02078117]
3005,[1.         0.62312829],[ 0.06950614 -0.02665475 -0.6394192  -0.21240336]
3006,[1.        1.0430814],[-0.25632617  0.07628344 -0.35054958 -0.09357934]
3007,[1.         0.47981748],[ 0.17104891  0.00651586 -0.7593604  -0.20179738]
3008,[1.         1.02750909],[-0.2896989   0.21266529 -0.38888785  0.11979181]
3009,[1.         0.41722444],[ 0.28076628 -0.03487697 -0.8970874  -0.19080096]
3010,[1.         1.00572193],[-0.23555778  0.07471816 -0.33510864 -0.13162723]
3011,[1.         1.03887618],[-0.26265746  0.09948955 -0.34981441 -0.05769747]
3012,[1.         0.99307501],[-0.23490757  0.0909889  -0.35758746 -0.1486156 ]
3013,[1.         1.02459049],[-0.295486    0.24726309 -0.42382917  0.17444223]
3014,[1.         0.98352897],[-0.25970015  0.18444896 -0.2947445  -0.01830044]
3015,[1.         0.84449875],[-0.11049476  0.00826855 -0.44135693 -0.21111594]
3016,[1.         1.02769053],[-0.27963665  0.17222825 -0.38182354  0.05747318]
3017,[1.         0.95283419],[-0.2241483   0.12245703 -0.36053962 -0.11643834]
3018,[1.         1.02782106],[-0.2580367   0.10302986 -0.3368929  -0.07426188]
3019,[1.         1.04003334],[-0.26015517  0.09085565 -0.34122425 -0.07454749]
3020,[0.99808341 0.98658842],[-0.28631747  0.31225434 -0.32355034  0.16596091]
3021,[1.         1.02566254],[-0.27985147  0.17692041 -0.39904937  0.06731467]
3022,[1.         0.88356453],[-0.18401669  0.11968887 -0.3923063  -0.165983  ]
3023,[1.         0.93081266],[-0.19795226  0.08516777 -0.38163945 -0.16726798]
3024,[1.         0.84784251],[-0.08699724 -0.03625104 -0.4067566  -0.20602171]
3025,[1.         1.02847481],[-0.26456472  0.12106089 -0.37190783 -0.02838089]
3026,[1.         1.03436816],[-0.24853456  0.06825045 -0.35169506 -0.12246019]
3027,[1.         1.03532743],[-0.26565388  0.11351869 -0.32701808 -0.04628848]
3028,[1.        1.1072464],[-0.34907487  0.33301294 -0.38850594  0.22172326]
3029,[1.         0.88020754],[-0.13052788  0.00405562 -0.42737442 -0.20522544]
3030,[0.99681432 0.99158007],[-0.29142392  0.33418852 -0.32801607  0.19628933]
3031,[1.         1.03381813],[-0.27298486  0.13850418 -0.3459701   0.00073301]
3032,[1.         1.03652573],[-0.27043113  0.12599576 -0.33416185 -0.02007514]
3033,[1.         1.03425288],[-0.2657532   0.11548429 -0.3678363  -0.03062479]
3034,[1.         0.73250633],[-0.06388226  0.05860147 -0.4757706  -0.21876064]
3035,[1.        0.9386391],[-0.20495304  0.09169754 -0.3768459  -0.16366366]
3036,[1.         1.03339124],[-0.27305526  0.13945144 -0.34898233  0.00264581]
3037,[0.82634987 1.17549551],[-0.3880659   0.38265276 -0.38349253  0.22548988]
3038,[1.         1.03167033],[-0.30084717  0.25659013 -0.39280578  0.18688813]
3039,[1.         0.99324411],[-0.2522261   0.14089921 -0.29300693 -0.07390539]
3040,[1.         0.70802456],[-0.05098242  0.06590217 -0.48506096 -0.22196034]
3041,[1.         0.94717115],[-0.22096206  0.12231039 -0.3633283  -0.1230367 ]
3042,[1.         0.69251186],[-0.01073053  0.01309726 -0.5377009  -0.22038814]
3043,[1.        0.7258907],[-0.06263547  0.06498143 -0.47680283 -0.21805972]
3044,[1.         1.03826094],[-0.26858905  0.11763605 -0.32860118 -0.03361087]
3045,[1.         1.02234638],[-0.2754277   0.1671021  -0.38873506  0.04373306]
3046,[1.         1.03929567],[-0.2590983   0.08904158 -0.3645084  -0.07117088]
3047,[1.         0.86674923],[-0.1034354  -0.02919494 -0.4211861  -0.20915525]
3048,[1.         1.02546382],[-0.26704267  0.13357955 -0.3740751  -0.01091401]
3049,[1.         0.66703039],[ 0.08047572 -0.08492531 -0.6509541  -0.20762503]
3050,[1.         1.02947426],[-0.2877546   0.20011587 -0.36640355  0.09722307]
3051,[1.         1.02918446],[-0.2874892   0.19964099 -0.36885503  0.09689444]
3052,[0.9997067  0.98272353],[-0.4896105   0.6028472  -0.27567697  0.2570763 ]
3053,[1.         1.00337255],[-0.25988978  0.14817849 -0.3257669  -0.03574251]
3054,[1.         0.72372669],[-0.06830075  0.07962185 -0.47314525 -0.21347731]
3055,[1.         1.00030577],[-0.2550276   0.13780983 -0.3097486  -0.0628554 ]
3056,[1.         1.04127324],[-0.25884694  0.08551537 -0.35311154 -0.07832049]
3057,[1.         0.98669839],[-0.26814818  0.21143317 -0.31514263  0.03333217]
3058,[0.9949594  1.12561691],[-0.3591032   0.34522122 -0.38931793  0.22067145]
3059,[1.        0.5763151],[ 0.07694507  0.01626195 -0.6439441  -0.21138346]
3060,[0.96545283 1.09322977],[-0.34503752  0.3620762  -0.3630861   0.20419016]
3061,[1.         1.00742865],[-0.27466783  0.19354835 -0.36296877  0.05365308]
3062,[1.        0.7414974],[-0.08519658  0.09080362 -0.4614681  -0.20559345]
3063,[1.         0.70970565],[-0.01998214  0.00801073 -0.5269903  -0.22136688]
3064,[1.        0.5751977],[ 0.1433979  -0.06504899 -0.7332819  -0.20506065]
3065,[1.         1.01691628],[-0.2790725   0.19137293 -0.38706815  0.07237944]
3066,[1.         0.34057549],[ 0.30486706  0.03149596 -0.91939694 -0.18793273]
3067,[1.         1.02072251],[-0.24388207  0.07516062 -0.34160286 -0.13322765]
3068,[1.         1.01661527],[-0.27491343  0.17611891 -0.37865832  0.0459668 ]
3069,[1.         1.03627479],[-0.31033996  0.3019482  -0.3866395   0.19105062]
3070,[1.         1.04034626],[-0.25967088  0.08908151 -0.35482687 -0.07265082]
3071,[1.         1.02524269],[-0.29174718  0.22718978 -0.41839     0.14646608]
3072,[1.         0.61400837],[ 0.055601    0.00278178 -0.6194177  -0.21365184]
3073,[1.         0.63357502],[ 0.01032603  0.05064353 -0.5593443  -0.21800485]
3074,[1.         0.99409848],[-0.27728423  0.23510829 -0.34176627  0.08639203]
3075,[1.         1.04446316],[-0.25502348  0.07099491 -0.35419455 -0.1001225 ]
3076,[1.         0.99588275],[-0.26649424  0.18539566 -0.3283515   0.01275466]
3077,[1.         1.01580334],[-0.2911987   0.24842584 -0.40116322  0.15573336]
3078,[1.         1.04261887],[-0.2559607   0.07597376 -0.36025923 -0.0916229 ]
3079,[1.         1.02971292],[-0.25657544  0.09612443 -0.3521346  -0.07691591]
3080,[1.       0.975725],[-0.23256528  0.11054079 -0.35501748 -0.12279249]
3081,[0.97497266 1.01881492],[-0.39645922  0.48632586 -0.28955758  0.23036554]
3082,[1.        1.0197494],[-0.2995818   0.28538263 -0.391659    0.1873729 ]
3083,[1.         0.92107964],[-0.17355469  0.04138803 -0.35390833 -0.15569672]
3084,[1.         0.62110227],[ 0.12331489 -0.08842668 -0.71133035 -0.20725915]
3085,[1.         1.03451324],[-0.30315703  0.26141417 -0.418351    0.19101983]
3086,[1.         1.00837815],[-0.24460012  0.09469653 -0.30577233 -0.11341868]
3087,[1.         1.04050803],[-0.2620331   0.09532978 -0.3420154  -0.06523344]
3088,[1.         1.03295052],[-0.27552444  0.14830534 -0.3459485   0.01556201]
3089,[1.         0.81637681],[-0.0653747  -0.03758538 -0.4766119  -0.22629258]
3090,[1.         1.02784467],[-0.29457438  0.23429988 -0.40141505  0.15452528]
3091,[1.         0.98728681],[-0.26660267  0.20370549 -0.31372425  0.02247842]
3092,[0.76599426 1.07941484],[-0.3446175   0.39058343 -0.33123887  0.20960742]
3093,[1.         1.02716863],[-0.27809614  0.16764066 -0.38789147  0.05149604]
3094,[1.        0.9324705],[-0.19457306  0.07448956 -0.38377503 -0.17034763]
3095,[1.         0.79344702],[-0.03727624 -0.05646846 -0.4848463  -0.2094416 ]
3096,[1.         1.02933097],[-0.27986366  0.16994977 -0.36775398  0.05178655]
3097,[1.         0.98395741],[-0.27466586  0.24838822 -0.31750512  0.08130646]
3098,[1.         1.00951707],[-2.6654068e-01  1.5958172e-01 -3.4998232e-01 -5.7317317e-05]
3099,[0.99909159 1.01524782],[-0.4803676   0.5780675  -0.29158214  0.2519047 ]
3100,[1.         1.03602207],[-0.26557893  0.11221956 -0.35627887 -0.0374042 ]
3101,[1.         1.04026127],[-0.25674406  0.08134316 -0.34790477 -0.08964808]
3102,[1.         0.75260317],[-0.03812443 -0.01162334 -0.5070038  -0.223344  ]
3103,[1.         1.03575861],[-0.26477876  0.11028436 -0.36142713 -0.03951371]
3104,[1.         0.81517231],[-0.12014206  0.0643139  -0.43614164 -0.19812042]
3105,[1.         0.94885951],[-0.21926714  0.1148155  -0.36592382 -0.14088455]
3106,[0.96977529 1.03637373],[-0.316193    0.35394374 -0.33666593  0.2012501 ]
3107,[1.         0.96126962],[-0.20357111  0.05692811 -0.38112378 -0.16816571]
3108,[0.99316877 1.06859636],[-0.44992092  0.521485   -0.3164495   0.2396461 ]
3109,[1.         0.91018802],[-0.17900395  0.06799171 -0.3946254  -0.1769349 ]
3110,[1.         1.00441992],[-0.523327    0.62749755 -0.28683558  0.256433  ]
3111,[1.         0.99137372],[-0.23281518  0.08791438 -0.35992533 -0.1531133 ]
3112,[1.         1.00229776],[-0.26264375  0.15931903 -0.3304738  -0.01772838]
3113,[1.         1.01258111],[-0.29418448  0.27446812 -0.39469206  0.1823073 ]
3114,[1.         1.09620321],[-0.34371722  0.33319992 -0.3932057   0.19861874]
3115,[1.         1.03916287],[-0.2604179   0.09284408 -0.35874274 -0.06633377]
3116,[0.96455569 1.14704788],[-0.37086418  0.36112112 -0.3868875   0.22301787]
3117,[1.         1.00949931],[-0.27603194  0.1946604  -0.36895216  0.06035335]
3118,[1.         0.95757389],[-0.19536029  0.04295774 -0.38912028 -0.17218882]
3119,[1.         1.04356217],[-0.25360367  0.06859799 -0.35592523 -0.1056814 ]
3120,[1.         1.02516067],[-0.28227088  0.18711653 -0.40285826  0.08335075]
3121,[1.         1.03166223],[-0.27978534  0.1653061  -0.34839398  0.04167891]
3122,[1.         0.78127199],[-0.02764279 -0.05805717 -0.4706103  -0.19528559]
3123,[1.        0.2705321],[ 0.4757413  -0.00315499 -1.1330222  -0.17730781]
3124,[1.        1.0102787],[-0.29275832  0.27298993 -0.38869798  0.17514302]
3125,[0.95621516 1.01481295],[-0.3719386   0.46147978 -0.2868077   0.22444573]
3126,[1.         1.02907884],[-0.2880752   0.20229104 -0.37058252  0.10117969]
3127,[1.         0.92911077],[-0.16929883  0.02242839 -0.40526322 -0.18587613]
3128,[1.         1.02366161],[-0.2895991   0.22103924 -0.41576517  0.13471982]
3129,[1.         0.80186522],[-0.04443353 -0.05452338 -0.46664345 -0.20547128]
3130,[1.        1.0291456],[-0.2753104   0.15429601 -0.3763494   0.02946474]
3131,[1.         1.06676757],[-0.32929933  0.33372307 -0.37495676  0.19802427]
3132,[1.        0.8917048],[-0.16877905  0.06936937 -0.40188494 -0.18025601]
3133,[1.         1.02586019],[-0.2424309   0.06445302 -0.365138   -0.14070535]
3134,[1.         0.86412597],[-0.17102802  0.1151982  -0.40138033 -0.17131284]
3135,[1.         1.02385092],[-0.27008772  0.14610812 -0.3791049   0.00911018]
3136,[1.         1.03784549],[-0.25621423  0.08336283 -0.34730223 -0.09012457]
