lat_block,lon_block,count
0.868,0.372,417
0.558,0.33,416
0.627,0.38,416
0.608,0.39,416
0.7010000000000001,0.561,415
0.7000000000000001,0.447,415
0.675,0.317,414
0.649,0.439,414
0.64,0.586,413
0.643,0.5730000000000001,413
0.732,0.20500000000000002,411
0.762,0.625,410
0.781,0.459,410
0.765,0.394,409
0.545,0.216,408
0.647,0.403,408
0.704,0.538,408
0.761,0.376,407
0.6910000000000001,0.554,406
0.859,0.31,405
0.707,0.489,405
0.389,0.32,405
0.614,0.41500000000000004,403
0.5700000000000001,0.52,403
0.723,0.465,403
0.68,0.422,403
0.246,0.34400000000000003,403
0.8270000000000001,0.462,403
0.717,0.494,402
0.754,0.623,402
0.746,0.399,401
0.906,0.24,401
0.72,0.359,399
0.677,0.511,398
0.772,0.375,397
0.686,0.429,397
0.672,0.425,397
0.536,0.386,396
0.747,0.419,396
0.811,0.354,396
0.753,0.389,396
0.8270000000000001,0.443,395
0.762,0.504,395
0.758,0.47100000000000003,395
0.224,0.34400000000000003,394
0.753,0.455,394
0.8270000000000001,0.254,393
0.9550000000000001,0.41300000000000003,393
0.75,0.594,392
0.74,0.481,391
0.804,0.522,391
0.62,0.29,390
0.748,0.539,389
0.509,0.499,389
0.8180000000000001,0.194,389
0.23900000000000002,0.327,387
0.582,0.448,387
0.746,0.443,387
0.559,0.389,387
0.676,0.431,387
0.652,0.5640000000000001,386
0.855,0.375,385
0.581,0.062,385
0.6980000000000001,0.7020000000000001,384
0.867,0.318,383
0.601,0.181,381
0.781,0.557,381
0.864,0.391,381
0.647,0.366,381
0.632,0.362,379
0.512,0.41300000000000003,379
0.519,0.244,379
0.596,0.341,379
0.539,0.23900000000000002,378
0.705,0.462,378
0.662,0.448,378
0.729,0.368,377
0.6910000000000001,0.6990000000000001,377
0.659,0.457,377
0.77,0.443,377
0.741,0.395,377
0.7020000000000001,0.47600000000000003,377
0.556,0.404,376
0.271,0.373,376
0.845,0.596,375
0.745,0.705,375
0.616,0.595,374
0.717,0.41400000000000003,373
0.482,0.20700000000000002,371
0.879,0.372,371
0.78,0.48,370
0.834,0.502,370
0.681,0.6880000000000001,370
0.754,0.459,369
0.613,0.393,369
0.389,0.176,368
0.754,0.34700000000000003,368
0.639,0.40900000000000003,368
0.485,0.6910000000000001,368
0.538,0.464,367
0.8230000000000001,0.616,366
0.75,0.578,365
0.713,0.504,365
0.677,0.555,365
0.467,0.656,365
0.765,0.503,364
0.8,0.504,363
0.837,0.306,361
0.753,0.448,361
0.739,0.551,361
0.58,0.39,360
0.783,0.53,360
0.853,0.441,360
0.87,0.459,358
0.557,0.626,357
0.727,0.453,354
0.515,0.40900000000000003,352
0.677,0.34600000000000003,351
0.87,0.265,350
0.759,0.657,350
0.71,0.377,349
0.801,0.353,349
0.714,0.659,348
0.654,0.131,348
0.784,0.516,348
0.724,0.511,347
0.773,0.537,347
0.7010000000000001,0.401,346
0.709,0.7020000000000001,346
0.704,0.47100000000000003,346
0.642,0.33,345
0.6950000000000001,0.418,345
0.704,0.6930000000000001,345
0.519,0.249,345
0.925,0.422,345
0.8230000000000001,0.364,344
0.4,0.246,341
0.721,0.448,341
0.324,0.363,341
0.677,0.37,340
0.36,0.793,340
0.766,0.399,340
0.794,0.316,338
0.791,0.47200000000000003,338
0.846,0.493,337
0.785,0.507,337
0.734,0.276,337
0.7010000000000001,0.669,336
0.78,0.543,335
0.728,0.486,334
0.605,0.438,334
0.68,0.463,333
0.586,0.507,331
0.792,0.305,330
0.717,0.452,330
0.8170000000000001,0.483,330
0.717,0.51,329
0.8280000000000001,0.323,329
0.642,0.443,329
0.906,0.47600000000000003,328
0.241,0.334,328
0.418,0.639,327
0.587,0.275,327
0.7030000000000001,0.443,327
0.742,0.465,326
0.797,0.376,326
0.857,0.439,325
0.555,0.77,325
0.751,0.491,324
0.366,0.343,324
0.806,0.47400000000000003,324
0.723,0.458,324
0.547,0.47000000000000003,324
0.659,0.515,323
0.8240000000000001,0.294,323
0.783,0.665,322
0.8210000000000001,0.215,322
0.732,0.47500000000000003,321
0.666,0.419,321
0.34700000000000003,0.226,321
0.521,0.321,321
0.456,0.334,321
0.553,0.431,321
0.525,0.541,320
0.5720000000000001,0.658,319
0.681,0.529,317
0.632,0.324,316
0.773,0.488,315
0.756,0.498,315
0.749,0.487,315
0.6880000000000001,0.387,315
0.792,0.369,315
0.8130000000000001,0.417,315
0.795,0.555,315
0.519,0.388,314
0.731,0.402,313
0.794,0.418,313
0.777,0.433,313
0.483,0.54,313
0.641,0.459,312
0.842,0.40900000000000003,312
0.9440000000000001,0.256,311
0.606,0.039,310
0.718,0.5680000000000001,310
0.223,0.33,310
0.53,0.65,308
0.609,0.617,307
0.7000000000000001,0.444,307
0.73,0.434,307
0.666,0.115,307
0.539,0.604,307
0.376,0.466,306
0.636,0.546,306
0.767,0.47300000000000003,305
0.736,0.47800000000000004,305
0.731,0.546,304
0.763,0.481,303
0.36,0.47000000000000003,302
0.72,0.529,302
0.754,0.605,301
0.679,0.754,301
0.787,0.458,301
0.73,0.465,301
0.721,0.731,300
0.735,0.22,299
0.744,0.724,298
0.418,0.509,297
0.878,0.277,297
0.86,0.583,297
0.896,0.378,295
0.727,0.633,295
0.726,0.506,294
0.536,0.272,293
0.643,0.519,293
0.541,0.741,292
0.6940000000000001,0.456,291
0.794,0.526,291
0.626,0.5730000000000001,291
0.914,0.486,290
0.5690000000000001,0.375,290
0.746,0.453,290
0.857,0.508,290
0.558,0.23500000000000001,290
0.742,0.507,290
0.652,0.17200000000000001,289
0.856,0.5680000000000001,289
0.742,0.515,288
0.755,0.381,288
0.8270000000000001,0.452,288
0.377,0.856,287
0.773,0.499,287
0.8190000000000001,0.526,287
0.622,0.704,286
0.9590000000000001,0.319,286
0.524,0.47100000000000003,285
0.68,0.406,284
0.869,0.41500000000000004,284
0.682,0.526,284
0.668,0.543,284
0.85,0.589,283
0.599,0.386,283
0.744,0.508,283
0.774,0.221,282
0.838,0.437,280
0.621,0.243,280
0.539,0.593,280
0.96,0.401,280
0.88,0.517,279
0.796,0.392,278
0.736,0.106,276
0.742,0.391,276
0.8240000000000001,0.536,276
0.6890000000000001,0.781,275
0.552,0.761,275
0.509,0.245,275
0.801,0.547,274
0.719,0.098,274
0.732,0.487,273
0.754,0.224,273
0.8130000000000001,0.499,272
0.799,0.17,272
0.721,0.558,272
0.6970000000000001,0.463,272
0.516,0.203,271
0.751,0.485,271
0.6920000000000001,0.14200000000000002,271
0.578,0.404,271
0.398,0.223,270
0.801,0.457,270
0.717,0.499,269
0.672,0.363,268
0.765,0.42,267
0.915,0.188,267
0.622,0.582,266
0.713,0.43,266
0.812,0.593,265
0.725,0.47100000000000003,265
0.769,0.498,264
0.839,0.298,264
0.794,0.537,264
0.676,0.423,264
0.903,0.447,263
0.766,0.598,263
0.5750000000000001,0.436,262
0.799,0.669,262
0.46,0.447,262
0.92,0.441,261
0.546,0.764,261
0.668,0.768,260
0.624,0.716,260
0.365,0.662,260
0.678,0.41300000000000003,259
0.883,0.42,259
0.59,0.406,259
0.711,0.59,258
0.762,0.602,257
0.66,0.557,257
0.754,0.371,256
0.8310000000000001,0.225,256
0.706,0.456,255
0.84,0.632,254
0.643,0.434,254
0.612,0.462,253
0.811,0.212,253
0.676,0.251,253
0.615,0.365,253
0.721,0.35100000000000003,252
0.678,0.606,252
0.488,0.874,252
0.505,0.202,252
0.533,0.577,252
0.6,0.663,251
0.885,0.46900000000000003,251
0.721,0.391,251
0.704,0.432,250
0.673,0.356,249
0.686,0.372,249
0.742,0.493,249
0.682,0.39,249
0.767,0.385,249
0.739,0.265,249
0.732,0.38,249
0.742,0.608,248
0.644,0.508,248
0.711,0.439,248
0.771,0.465,247
0.6960000000000001,0.558,247
0.737,0.47000000000000003,247
0.429,0.20600000000000002,247
0.739,0.139,247
0.645,0.616,246
0.515,0.154,246
0.724,0.434,246
0.526,0.426,246
0.8160000000000001,0.405,245
0.6950000000000001,0.404,245
0.76,0.562,244
0.662,0.426,244
0.735,0.653,244
0.762,0.35000000000000003,244
0.751,0.464,244
0.657,0.424,244
0.674,0.392,244
0.755,0.508,244
0.735,0.536,244
0.785,0.406,243
0.5740000000000001,0.40700000000000003,243
0.8160000000000001,0.516,243
0.51,0.381,242
0.439,0.223,242
0.745,0.449,242
0.762,0.117,241
0.752,0.5700000000000001,241
0.858,0.376,240
0.644,0.47800000000000004,240
0.748,0.49,240
0.622,0.734,239
0.76,0.541,239
0.835,0.59,239
0.837,0.579,238
0.735,0.383,238
0.493,0.234,237
0.659,0.435,236
0.746,0.548,236
0.849,0.506,236
0.798,0.491,236
0.6950000000000001,0.41000000000000003,236
0.241,0.367,235
0.518,0.405,235
0.734,0.463,235
0.896,0.442,235
0.743,0.675,235
0.807,0.362,235
0.551,0.423,235
0.807,0.518,234
0.801,0.177,234
0.538,0.226,234
0.68,0.749,234
0.7010000000000001,0.42,234
0.709,0.234,234
0.852,0.49,233
0.68,0.47600000000000003,233
0.589,0.722,233
0.743,0.41600000000000004,233
0.812,0.17200000000000001,232
0.483,0.23500000000000001,232
0.56,0.195,231
0.675,0.643,230
0.71,0.405,230
0.387,0.34600000000000003,230
0.618,0.248,229
0.5640000000000001,0.396,229
0.6890000000000001,0.543,228
0.5720000000000001,0.661,228
0.785,0.444,228
0.729,0.452,228
0.728,0.338,228
0.736,0.375,228
0.587,0.398,227
0.663,0.111,227
0.8,0.532,227
0.38,0.486,227
0.499,0.378,227
0.353,0.34400000000000003,226
0.42,0.488,226
0.441,0.293,226
0.773,0.47300000000000003,226
0.652,0.11800000000000001,225
0.788,0.39,225
0.20500000000000002,0.335,225
0.637,0.545,224
0.373,0.28400000000000003,224
0.685,0.457,224
0.624,0.508,224
0.7020000000000001,0.395,224
0.793,0.362,223
0.725,0.41200000000000003,223
0.49,0.125,223
0.596,0.518,223
0.722,0.44,222
0.711,0.486,222
0.7030000000000001,0.445,222
0.837,0.446,222
0.6920000000000001,0.462,221
0.33,0.356,221
0.866,0.435,221
0.403,0.433,221
0.47500000000000003,0.271,220
0.65,0.434,220
0.728,0.482,220
0.931,0.222,219
0.9560000000000001,0.359,219
0.605,0.038,219
0.512,0.637,219
0.714,0.527,218
0.728,0.47700000000000004,217
0.8250000000000001,0.553,217
0.733,0.442,216
0.755,0.493,215
0.559,0.535,215
0.734,0.533,215
0.397,0.363,215
0.709,0.425,214
